sekunda,plama_px,plam,tlo_px,zapisana
180.0,0,0,0,0
180.2,0,0,0,0
180.5,0,0,0,0
180.8,0,0,273,0
181.0,0,0,0,0
181.2,0,0,0,0
181.5,0,0,0,0
181.8,0,0,217,0
182.0,0,0,0,0
182.2,0,0,0,0
182.5,0,0,0,0
182.8,0,0,86,0
183.0,0,0,0,0
183.2,0,0,0,0
183.5,0,0,0,0
183.8,0,0,347,0
184.0,0,0,0,0
184.2,0,0,0,0
184.5,0,0,0,0
184.8,0,0,253,0
185.0,0,0,0,0
185.2,0,0,0,0
185.5,0,0,0,0
185.8,0,0,206,0
186.0,0,0,0,0
186.2,0,0,0,0
186.5,0,0,0,0
186.8,0,0,126,0
187.0,0,0,0,0
187.2,0,0,0,0
187.5,0,0,0,0
187.8,0,0,243,0
188.0,0,0,0,0
188.2,0,0,0,0
188.5,0,0,0,0
188.8,0,0,247,0
189.0,0,0,0,0
189.2,0,0,0,0
189.5,0,0,0,0
189.8,0,0,95,0
190.0,0,0,0,0
190.2,0,0,0,0
190.5,0,0,0,0
190.8,0,0,272,0
191.0,0,0,0,0
191.2,0,0,0,0
191.5,0,0,0,0
191.8,0,0,217,0
192.0,0,0,0,0
192.2,0,0,0,0
192.5,0,0,0,0
192.8,0,0,93,0
193.0,0,0,0,0
193.2,0,0,0,0
193.5,0,0,0,0
193.8,0,0,272,0
194.0,0,0,0,0
194.2,0,0,0,0
194.5,0,0,0,0
194.8,0,0,252,0
195.0,0,0,0,0
195.2,0,0,0,0
195.5,0,0,0,0
195.8,0,0,210,0
196.0,0,0,0,0
196.2,0,0,0,0
196.5,0,0,0,0
196.8,0,0,134,0
197.0,0,0,0,0
197.2,0,0,0,0
197.5,0,0,0,0
197.8,0,0,242,0
198.0,0,0,0,0
198.2,0,0,0,0
198.5,0,0,0,0
198.8,0,0,239,0
199.0,0,0,0,0
199.2,0,0,0,0
199.5,0,0,0,0
199.8,0,0,95,0
200.0,0,0,0,0
200.2,0,0,0,0
200.5,0,0,0,0
200.8,0,0,269,0
201.0,0,0,0,0
201.2,0,0,0,0
201.5,0,0,0,0
201.8,0,0,215,0
202.0,0,0,0,0
202.2,0,0,0,0
202.5,0,0,0,0
202.8,0,0,91,0
203.0,0,0,0,0
203.2,0,0,0,0
203.5,0,0,0,0
203.8,0,0,378,0
204.0,0,0,0,0
204.2,0,0,0,0
204.5,0,0,0,0
204.8,0,0,246,0
205.0,0,0,0,0
205.2,0,0,0,0
205.5,0,0,0,0
205.8,0,0,209,0
206.0,0,0,0,0
206.2,0,0,0,0
206.5,0,0,0,0
206.8,0,0,135,0
207.0,0,0,0,0
207.2,0,0,0,0
207.5,0,0,0,0
207.8,0,0,246,0
208.0,0,0,0,0
208.2,0,0,0,0
208.5,0,0,0,0
208.8,0,0,239,0
209.0,0,0,0,0
209.2,0,0,0,0
209.5,0,0,0,0
209.8,0,0,94,0
210.0,0,0,0,0
210.2,0,0,0,0
210.5,0,0,0,0
210.8,0,0,276,0
211.0,0,0,0,0
211.2,0,0,0,0
211.5,0,0,0,0
211.8,0,0,215,0
212.0,0,0,0,0
212.2,0,0,0,0
212.5,0,0,0,0
212.8,0,0,86,0
213.0,0,0,0,0
213.2,0,0,0,0
213.5,0,0,0,0
213.8,0,0,379,0
214.0,0,0,0,0
214.2,0,0,0,0
214.5,0,0,0,0
214.8,0,0,247,0
215.0,0,0,0,0
215.2,0,0,0,0
215.5,0,0,0,0
215.8,0,0,212,0
216.0,0,0,0,0
216.2,0,0,0,0
216.5,0,0,0,0
216.8,0,0,134,0
217.0,0,0,0,0
217.2,0,0,0,0
217.5,0,0,0,0
217.8,0,0,252,0
218.0,0,0,0,0
218.2,0,0,0,0
218.5,0,0,0,0
218.8,0,0,245,0
219.0,0,0,0,0
219.2,0,0,0,0
219.5,0,0,0,0
219.8,2082,20,97,1
220.0,0,0,0,0
220.2,0,0,0,0
220.5,0,0,0,0
220.8,0,0,274,0
221.0,0,0,0,0
221.2,0,0,0,0
221.5,0,0,0,0
221.8,0,0,220,0
222.0,0,0,0,0
222.2,0,0,0,0
222.5,0,0,0,0
222.8,0,0,93,0
223.0,0,0,0,0
223.2,0,0,0,0
223.5,0,0,0,0
223.8,0,0,469,0
224.0,118,13,0,0
224.2,0,0,0,0
224.5,0,0,0,0
224.8,0,0,248,0
225.0,0,0,0,0
225.2,0,0,0,0
225.5,0,0,0,0
225.8,0,0,217,0
226.0,0,0,0,0
226.2,0,0,0,0
226.5,0,0,0,0
226.8,0,0,133,0
227.0,0,0,0,0
227.2,0,0,0,0
227.5,0,0,0,0
227.8,0,0,244,0
228.0,0,0,0,0
228.2,2750,27,0,1
228.5,0,0,0,0
228.8,0,0,249,0
229.0,0,0,0,0
229.2,0,0,0,0
229.5,0,0,0,0
229.8,0,0,94,0
230.0,0,0,0,0
230.2,0,0,0,0
230.5,0,0,0,0
230.8,0,0,273,0
231.0,0,0,0,0
231.2,0,0,0,0
231.5,0,0,0,0
231.8,0,0,210,0
232.0,0,0,0,0
232.2,0,0,0,0
232.5,0,0,0,0
232.8,0,0,93,0
233.0,399,10,0,1
233.2,0,0,0,0
233.5,0,0,0,0
233.8,0,0,379,0
234.0,0,0,0,0
234.2,0,0,0,0
234.5,0,0,0,0
234.8,0,0,249,0
235.0,0,0,0,0
235.2,0,0,0,0
235.5,0,0,0,0
235.8,0,0,208,0
236.0,0,0,0,0
236.2,0,0,0,0
236.5,0,0,0,0
236.8,0,0,133,0
237.0,0,0,0,0
237.2,0,0,0,0
237.5,0,0,0,0
237.8,0,0,234,0
238.0,0,0,0,0
238.2,0,0,0,0
238.5,0,0,0,0
238.8,25,1,238,0
239.0,0,0,0,0
239.2,0,0,0,0
239.5,0,0,0,0
239.8,0,0,93,0
240.0,0,0,0,0
240.2,0,0,0,0
240.5,0,0,0,0
240.8,0,0,270,0
241.0,0,0,0,0
241.2,0,0,0,0
241.5,0,0,0,0
241.8,0,0,216,0
242.0,0,0,0,0
242.2,0,0,0,0
242.5,0,0,0,0
242.8,0,0,93,0
243.0,0,0,0,0
243.2,0,0,0,0
243.5,0,0,0,0
243.8,0,0,335,0
244.0,0,0,0,0
244.2,0,0,0,0
244.5,0,0,0,0
244.8,0,0,247,0
245.0,0,0,0,0
245.2,0,0,0,0
245.5,0,0,0,0
245.8,0,0,207,0
246.0,0,0,0,0
246.2,0,0,0,0
246.5,0,0,0,0
246.8,0,0,128,0
247.0,0,0,0,0
247.2,0,0,0,0
247.5,0,0,0,0
247.8,0,0,233,0
248.0,0,0,0,0
248.2,0,0,0,0
248.5,0,0,0,0
248.8,0,0,240,0
249.0,0,0,0,0
249.2,0,0,0,0
249.5,0,0,0,0
249.8,0,0,94,0
250.0,0,0,0,0
250.2,0,0,0,0
250.5,0,0,0,0
250.8,0,0,0,0
251.0,0,0,273,0
251.2,0,0,0,0
251.5,0,0,0,0
251.8,0,0,0,0
252.0,0,0,215,0
252.2,0,0,0,0
252.5,0,0,0,0
252.8,0,0,0,0
253.0,0,0,87,0
253.2,0,0,0,0
253.5,0,0,0,0
253.8,0,0,0,0
254.0,0,0,267,0
254.2,0,0,0,0
254.5,0,0,0,0
254.8,0,0,0,0
255.0,0,0,248,0
255.2,0,0,0,0
255.5,0,0,0,0
255.8,0,0,0,0
256.0,0,0,213,0
256.2,0,0,0,0
256.5,0,0,0,0
256.8,0,0,0,0
257.0,0,0,133,0
257.2,0,0,0,0
257.5,0,0,0,0
257.8,0,0,0,0
258.0,0,0,235,0
258.2,0,0,0,0
258.5,0,0,0,0
258.8,0,0,0,0
259.0,0,0,236,0
259.2,0,0,0,0
259.5,0,0,0,0
259.8,0,0,0,0
260.0,0,0,94,0
260.2,0,0,0,0
260.5,0,0,0,0
260.8,0,0,0,0
261.0,0,0,273,0
261.2,0,0,0,0
261.5,0,0,0,0
261.8,0,0,0,0
262.0,0,0,221,0
262.2,0,0,0,0
262.5,0,0,0,0
262.8,0,0,0,0
263.0,0,0,88,0
263.2,0,0,0,0
263.5,0,0,0,0
263.8,0,0,0,0
264.0,0,0,369,0
264.2,0,0,0,0
264.5,0,0,0,0
264.8,0,0,0,0
265.0,0,0,241,0
265.2,0,0,0,0
265.5,0,0,0,0
265.8,0,0,0,0
266.0,0,0,213,0
266.2,0,0,0,0
266.5,0,0,0,0
266.8,0,0,0,0
267.0,0,0,127,0
267.2,0,0,0,0
267.5,0,0,0,0
267.8,0,0,0,0
268.0,0,0,231,0
268.2,0,0,0,0
268.5,0,0,0,0
268.8,0,0,0,0
269.0,0,0,235,0
269.2,0,0,0,0
269.5,0,0,0,0
269.8,0,0,0,0
270.0,0,0,92,0
270.2,0,0,0,0
270.5,0,0,0,0
270.8,0,0,0,0
271.0,0,0,273,0
271.2,0,0,0,0
271.5,0,0,0,0
271.8,0,0,0,0
272.0,0,0,215,0
272.2,0,0,0,0
272.5,0,0,0,0
272.8,0,0,0,0
273.0,0,0,91,0
273.2,0,0,0,0
273.5,0,0,0,0
273.8,0,0,0,0
274.0,0,0,375,0
274.2,0,0,0,0
274.5,0,0,0,0
274.8,0,0,0,0
275.0,0,0,246,0
275.2,0,0,0,0
275.5,0,0,0,0
275.8,0,0,0,0
